timestamp,ItemId,childid,conveyorid
2025-12-24T22:00:00,1368,115567,2
2025-12-24T22:00:00,7655,112405,4
2025-12-24T22:00:00,12947,117970,4
2025-12-24T22:00:00,21512,102046,1
2025-12-24T22:00:00,656,107792,1
2025-12-24T22:00:00,23226,107928,4
2025-12-24T22:00:00,66356,105232,3
2025-12-24T22:00:00,14414,101932,2
2025-12-24T22:00:00,59712,105469,3
2025-12-24T22:00:00,63291,114869,4
2025-12-24T22:00:00,11188,117747,5
2025-12-24T22:00:00,25993,100412,2
2025-12-24T22:00:00,29363,102774,2
2025-12-24T22:00:00,59455,106062,5
2025-12-24T22:00:00,27242,108056,3
2025-12-24T22:00:01,13246,115808,3
2025-12-24T22:00:01,30348,116160,2
2025-12-24T22:00:01,25701,112754,2
2025-12-24T22:00:01,55432,102180,4
2025-12-24T22:00:01,1725,106433,4
2025-12-24T22:00:01,4032,106194,2
2025-12-24T22:00:01,39516,110371,5
2025-12-24T22:00:01,68679,106983,4
2025-12-24T22:00:01,8437,102540,3
2025-12-24T22:00:01,13171,110158,4
2025-12-24T22:00:01,60689,106652,1
2025-12-24T22:00:01,44089,116131,4
2025-12-24T22:00:01,32891,105916,1
2025-12-24T22:00:01,47400,112004,5
2025-12-24T22:00:02,15325,103945,3
2025-12-24T22:00:02,49835,117150,4
2025-12-24T22:00:02,4420,117162,1
2025-12-24T22:00:02,21871,100785,1
2025-12-24T22:00:02,32589,113532,1
2025-12-24T22:00:02,26339,102274,1
2025-12-24T22:00:02,37928,106800,3
2025-12-24T22:00:02,49070,107280,4
2025-12-24T22:00:02,49466,106326,4
2025-12-24T22:00:02,26962,115933,1
2025-12-24T22:00:02,9527,107977,1
2025-12-24T22:00:02,49361,111706,5
2025-12-24T22:00:02,19047,108947,3
2025-12-24T22:00:02,52089,104488,3
2025-12-24T22:00:02,44937,110316,2
2025-12-24T22:00:02,12978,111241,5
2025-12-24T22:00:02,11701,112405,5
2025-12-24T22:00:02,54799,113985,3
2025-12-24T22:00:03,6882,105239,4
2025-12-24T22:00:03,20880,111345,1
2025-12-24T22:00:03,68116,105582,1
2025-12-24T22:00:03,40095,108996,1
2025-12-24T22:00:03,40296,111516,5
2025-12-24T22:00:03,16610,109941,5
2025-12-24T22:00:03,25039,105602,3
2025-12-24T22:00:03,36414,103609,3
2025-12-24T22:00:03,55148,103336,2
2025-12-24T22:00:03,69180,116773,5
2025-12-24T22:00:03,55793,114683,5
2025-12-24T22:00:03,50829,113886,2
2025-12-24T22:00:03,61797,107015,3
2025-12-24T22:00:03,4424,104681,2
2025-12-24T22:00:03,34828,116535,1
2025-12-24T22:00:04,23871,108478,2
2025-12-24T22:00:04,11795,102765,3
2025-12-24T22:00:04,52685,103933,2
2025-12-24T22:00:04,10830,118329,2
2025-12-24T22:00:04,2481,110521,2
2025-12-24T22:00:04,47641,115725,3
2025-12-24T22:00:04,48129,103532,2
2025-12-24T22:00:04,14137,113373,1
2025-12-24T22:00:04,7051,109785,2
2025-12-24T22:00:04,20791,102326,2
2025-12-24T22:00:04,44801,103487,1
2025-12-24T22:00:04,32184,100903,5
2025-12-24T22:00:04,61617,118201,2
2025-12-24T22:00:05,46059,109959,3
2025-12-24T22:00:05,27474,102110,2
2025-12-24T22:00:05,43271,111240,4
2025-12-24T22:00:05,65509,103072,4
2025-12-24T22:00:05,37550,105568,2
2025-12-24T22:00:05,69251,113959,5
